timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1778521463.194107 0.30208133 -0.41431160 0.00361412 -0.00054511 -0.00025701 -0.00030043
1778521463.260817 0.30208133 -0.41431160 0.00361412 0.00041047 0.00197938 0.00360909
1778521463.327527 0.30208133 -0.41431160 0.00361411 0.00106161 -0.00089397 -0.00018514
1778521463.394236 0.30208133 -0.41431160 0.00361411 -0.00249359 0.00103538 0.00030460
1778521463.460947 0.30208133 -0.41431159 0.00361412 0.00094536 0.00127722 0.00432362
1778521463.527658 0.30208133 -0.41431159 0.00361412 0.00115999 -0.00008817 -0.00023656
1778521463.594369 0.30208133 -0.41431159 0.00361412 -0.00126373 -0.00199329 -0.00154918
1778521463.661081 0.30208134 -0.41431158 0.00361412 0.00114650 0.00207537 0.00245485
1778521463.727792 0.30208133 -0.41431158 0.00361412 -0.00005495 -0.00021975 0.00076222
1778521463.794503 0.30208133 -0.41431158 0.00361412 -0.00006373 -0.00094775 -0.00218823
1778521463.861214 0.30208133 -0.41431158 0.00361412 -0.00048162 0.00096209 0.00300905
1778521463.927925 0.30208133 -0.41431157 0.00361412 0.00080015 0.00220297 0.00266469
1778521463.994636 0.30208133 -0.41431158 0.00361412 0.00099766 -0.00173185 -0.00370148
1778521464.061347 0.30208134 -0.41431158 0.00361412 0.00038961 0.00052203 0.00209192
1778521464.128058 0.30208134 -0.41431158 0.00361412 -0.00042708 -0.00094122 0.00300150
1778521464.194769 0.30208133 -0.41431158 0.00361412 -0.00257298 0.00086974 -0.00283650
1778521464.261480 0.30208133 -0.41431158 0.00361412 -0.00012757 0.00230973 0.00188699
1778521464.328190 0.30208133 -0.41431158 0.00361412 0.00027039 0.00031757 0.00318301
1778521464.394901 0.30208134 -0.41431158 0.00361412 0.00135004 -0.00087751 -0.00071909
1778521464.461613 0.30208134 -0.41431158 0.00361412 0.00016768 -0.00066230 0.00142348
1778521464.528328 0.30208134 -0.41431158 0.00361412 -0.00163234 0.00117655 0.00197929
1778521464.595042 0.30208134 -0.41431158 0.00361412 0.00142414 0.00072789 -0.00199271
1778521464.661756 0.30208134 -0.41431158 0.00361411 -0.00001339 -0.00019961 0.00137910
1778521464.728470 0.30208134 -0.41431158 0.00361412 -0.00095693 0.00015581 0.00217070
1778521464.795184 0.30208134 -0.41431158 0.00361411 0.00009063 -0.00145903 -0.00226507
1778521464.861898 0.30208134 -0.41431158 0.00361412 -0.00096353 -0.00132876 0.00104951
1778521464.928612 0.30208133 -0.41431158 0.00361412 -0.00021794 0.00063761 0.00264951
1778521464.995327 0.30208133 -0.41431160 0.00361412 -0.00104717 -0.00055496 -0.00060533
1778521465.062040 0.30208133 -0.41431159 0.00361412 0.00058484 -0.00030454 -0.00131934
1778521465.128754 0.30208133 -0.41431159 0.00361412 -0.00054181 0.00169471 0.00285686
1778521465.195468 0.30208133 -0.41431159 0.00361412 -0.00226738 -0.00117445 -0.00173375
1778521465.262182 0.30208133 -0.41431160 0.00361412 0.00251877 -0.00111408 0.00054746
1778521465.328896 0.30208133 -0.41431159 0.00361411 -0.00233889 0.00185582 0.00340561
1778521465.395610 0.30208133 -0.41431159 0.00361411 0.00089953 -0.00127551 -0.00075905
1778521465.462324 0.30208133 -0.41431159 0.00361411 -0.00044508 0.00032807 -0.00043350
1778521465.529038 0.30208133 -0.41431159 0.00361411 -0.00426330 0.00129658 0.00309030
1778521465.595752 0.30208132 -0.41431158 0.00361410 0.00276598 0.00054058 -0.00029438
1778521465.662465 0.30208132 -0.41431158 0.00361410 0.00039143 -0.00051603 -0.00018366
1778521465.729179 0.30208132 -0.41431159 0.00361411 -0.00140612 0.00221553 0.00399127
1778521465.795893 0.30208132 -0.41431159 0.00361411 0.00211729 0.00033157 0.00120734
1778521465.862607 0.30208132 -0.41431159 0.00361410 0.00054073 -0.00061841 0.00003665
1778521465.929320 0.30208132 -0.41431159 0.00361411 -0.00213119 0.00143370 0.00070419
1778521465.996034 0.30208131 -0.41431159 0.00361410 0.00264129 0.00047799 0.00107516
1778521466.062747 0.30208132 -0.41431158 0.00361411 0.00192244 -0.00120294 -0.00132351
1778521466.129461 0.30208132 -0.41431159 0.00361411 -0.00020058 -0.00092916 0.00210424
1778521466.196175 0.30208132 -0.41431158 0.00361411 0.00051021 0.00108431 0.00241960
1778521466.262888 0.30208132 -0.41431159 0.00361411 -0.00027971 -0.00100748 -0.00175056
1778521466.329602 0.30208131 -0.41431159 0.00361411 -0.00032670 0.00095552 0.00187758
1778521466.396315 0.30208131 -0.41431159 0.00361411 0.00090785 0.00009644 0.00197042
1778521466.463028 0.30208131 -0.41431159 0.00361411 0.00081802 0.00152875 -0.00250083
1778521466.529740 0.30208131 -0.41431159 0.00361411 -0.00217130 -0.00009593 0.00109117
1778521466.596451 0.30208131 -0.41431159 0.00361411 -0.00109808 0.00098122 0.00255847
1778521466.663163 0.30208132 -0.41431160 0.00361412 0.00199995 -0.00069385 -0.00331350
1778521466.729874 0.30208132 -0.41431161 0.00361412 0.00039335 0.00129162 0.00159755
1778521466.796586 0.30208132 -0.41431161 0.00361412 0.00133276 0.00061222 0.00137948
1778521466.863297 0.30208132 -0.41431161 0.00361412 0.00036435 -0.00063001 -0.00178803
1778521466.930009 0.30208132 -0.41431162 0.00361412 0.00050285 0.00252055 0.00053036
1778521466.996720 0.30208132 -0.41431162 0.00361412 -0.00222530 0.00001978 0.00179763
1778521467.063431 0.30208133 -0.41431162 0.00361412 0.00115016 -0.00149242 -0.00178634
1778521467.130142 0.30208133 -0.41431162 0.00361412 -0.00052780 -0.00098516 -0.00105774
